video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=z7EewP9k_7w&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@magnus_method,Magnus Method,21 Fitness Tips Every Beginner Needs to Know,153K,2 years,"As a celebrity trainer, I aim to give you the tools you need to achieve the best fitness results possible! Whether you're a beginner ...",2024-01-28 19:46:13.257280
/watch?v=EKUNGQ4LmH8&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@magnus_method,Magnus Method,Beginner's Guide to the Gym | DO's and DON'Ts,2.3M,1 year,Get started going to the gym the RIGHT way! Everything from how to prepare to supplements and pre/post workout etc. in this ...,2024-01-28 19:46:13.258756
/watch?v=geK9GNKGRpo&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@JeremyEthier,Jeremy Ethier,How To FORCE Muscle Growth (5 Science-Based Methods),4M,1 year,"When it comes to how to grow muscle, you need to continuously challenge them with more than they're used to. In other words: ...",2024-01-28 19:46:13.260006
/watch?v=GbxUWBG31Oo&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@GravityTransformation,Gravity Transformation - Fat Loss Experts,Top 10 Muscle Building Tips for BEGINNERS,2.3M,5 years,The Top 10 BEST Muscle Building Tips for Beginners & skinny guys. Learn how to build muscle with these workout and diet tips.,2024-01-28 19:46:13.269869
/watch?v=_fbCcWyYthQ&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@JREClips,JRE Clips,Joe Rogan - How To Workout Smarter,15M,5 years,Firas Zahabi on focusing on consistency over intensity in training.,2024-01-28 19:46:13.271827
/watch?v=NmCAJTdtwCI&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@musclemonsters,musclemonsters,7 Science-Based Training Tips for Skinny Guys (BULK UP FAST!),363K,1 year,"With all of the different workout routines, supplements, and secret techniques to choose from, building muscle as a naturally ...",2024-01-28 19:46:13.273786
/watch?v=LhEFM7qerCI&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@Sean_Nalewanyj,Sean Nalewanyj,15 Idiotic Muscle Building Mistakes (AVOID THESE!),3.3M,2 years,------------------------------------------------------------------------------------- 15 Muscle Building Mistakes To Avoid: In today's video we're ...,2024-01-28 19:46:13.280012
/watch?v=04kAfDdqEfg&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@BrettMaverick,Brett Maverick,The Perfect Workout Routine For Teens (Science-Based),1.7M,1 year,... I share with you The Perfect Workout Routine For Teens (Science-Based) As a teenager this is the best time to start working out ...,2024-01-28 19:46:13.282070
/watch?v=FGfmORUoL6A&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@growingannanas,growingannanas,10 TIPS TO GET MOTIVATED - How do I find motivation to workout?,182K,1 year,"Team, it's not always easy to feel motivated to get up and workout. Let me share with you my 10 TIPS TO GET MOTIVATED! I hope ...",2024-01-28 19:46:13.284525
/watch?v=gwodnO1wZ9g&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@ameliedesai,Amelie Desai,"MY FITNESS JOURNEY: diet changes, current split, how to start + tips!",901K,1 year,HELLO HELLO! Thank you for clicking on todays video! This one is a bit longer than usual but I tried to answer all of my most ...,2024-01-28 19:46:13.291176
/watch?v=q9Cux6Ed20g&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@Sean_Nalewanyj,Sean Nalewanyj,20 Common Lifting Mistakes To Avoid! (Are You Guilty Of These?),5.1M,2 years,--------------------------------------------------------------------------------------- In today's video I'm covering a variety of lifting mistakes related to ...,2024-01-28 19:46:13.293657
/watch?v=MilYefF9DjI&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@TheInfographicsShow,The Infographics Show,What Happens to Your Body When You Start Exercising?,3.3M,1 year,"Exercising has some amazing benefits to the body, and in today's epic new video, we're going to fill you in on why you need to get ...",2024-01-28 19:46:13.295260
/watch?v=nrQ1CQ2HRYk&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@GravityTransformation,Gravity Transformation - Fat Loss Experts,8 Best Things to do After a Workout,9.2M,2 years,These are 8 things you should do after your gym/home workouts. By taking these steps you'll be impressed with your improved ...,2024-01-28 19:46:13.299699
/watch?v=Hxwd-9p54c8&pp=ygUQd29ya2luZyBvdXQgdGlwcw%3D%3D,/@lenalifts,LenaLifts,"how to start working out: *life-changing* tips to be consistent, advice for motivation & gym anxiety",438K,6 months,"how to start working out, be consistent, get out of a slump, start your fitness journey, and change your life! GET MY WORKOUT ...",2024-01-28 19:46:13.301985
